"","primitive","classical","secretory","basal"
"ADCY7",-0.266889528888176,-0.125738400450224,0.493194446964624,0.194106528785524
"ADCY8",-0.112927238608354,0.210457752729492,-0.113995878615999,-0.0223682093912839
"ADCY9",-0.0461194261967961,-0.0504795690131885,0.0775453481808741,0.0627333411495345
"ADCYAP1R1",0.00205773109591756,0.0384233512385085,0.0024101211211915,-0.0536495773995963
"ADD1",-0.0717677059331257,-0.137291439602078,0.250208280293907,-0.00180088383881651
"ADD2",0.185986266409381,0.151815267238876,-0.13166083625092,-0.132669027687299
"ADD3",-0.308755725932425,0.272915861435317,-0.127855368853862,-0.0382094654908132
"ADFP",0.395632783751627,-0.577173587616272,0.791294564090486,-0.161683221993558
"ADH1B",-0.314844197065033,-0.0396074486558222,1.22417946180943,-0.168819372031044
"ADH5",0.0853312747613223,0.0781375593864575,-0.199045299441519,0.0481686536858357
"ADH6",0.00790060665192949,-0.00896328274090738,0.00180469293091212,-0.0025436149603003
"ADH7",-1.32909480490704,2.71612071764694,-1.51317171008774,-0.136519481296707
"ADI1",-0.056247516711743,0.133720045936439,-0.0695826942815871,0.102347508910604
"ADIPOQ",-0.0110985676200408,-0.000612484429175164,0.0130145246880136,0.00278488235527528
"ADIPOR1",-0.0604800257246885,0.07819530020724,-0.161923941980187,0.0431162962180689
"ADIPOR2",-0.0080984247549778,0.24958164247156,-0.270638665717699,0.0308348305833504
"ADM",-0.632949403846845,0.508349782612606,-0.714518890272624,0.178284517569279
"ADM2",-0.0308820077925964,0.00648840043057046,0.0381272773626174,-0.0129844700929972
"ADNP",0.383867098550574,0.113071645707262,-0.180268961186465,0.00619192568614954
"ADNP2",0.187474639740254,0.110009918406708,-0.216058379014471,-0.0549093485181067
"ADORA1",0.0694022029921617,-0.0709920959189633,0.0402091234138582,-0.0178256507996477
"ADORA2A",-0.10386290995517,-0.128194368260748,0.337082926436624,-0.0952060082343382
"ADORA2B",-0.58748885312332,0.145602126031794,-0.414184917486848,0.689581417894349
"ADORA3",-0.140195526871114,-0.0500541404194643,0.309727847204669,0.00071823804864116
"ADPRH",-0.0857204378898216,-0.0961147143626145,0.172381322266052,-0.0143435420752245
"ADRA1B",0.000569168242926965,-0.0611418802130954,0.131283053367619,-0.0551508499826139
"ADRA1D",-0.0587490365314634,-0.0072089091588996,0.0227782264285143,-0.0273783474429801
"ADRA2A",-0.190914836264128,-0.102772936670529,0.440541291889372,0.029084382300089
"ADRA2B",-0.0543870086250142,0.0680043838126738,-0.0820272552214042,-0.0171879219943332
"ADRA2C",0.15869994515269,0.0374165621864284,-0.07519465008482,-0.00239868024562873
"ADRB2",-0.534141826478379,-0.231329023128617,0.851425601843748,0.626974136309672
"ADRB3",-0.0219263120008255,0.0201833020488436,0.0313016502080189,-0.0378136883215395
"ADRBK1",-0.0324983646720671,-0.0272670021708614,0.237351736914801,-0.0350900375841503
"ADRM1",0.00410258410944531,0.0591637891821121,-0.276684033755397,0.119092151395284
"ADSL",0.173262896171947,0.137473138334235,-0.381166423639287,-0.0621667553827149
"ADSS",0.0239053538442102,0.222420548613656,-0.44323968967798,-0.0473994383656362
"AEBP1",-0.387990876175589,-0.43979720442201,0.351909217971389,0.408433286478808
"AES",-0.0925810931161846,0.00726812248737664,-0.0330489314025402,0.0558990875378741
"AFAP1",0.094887559583796,-0.053565329914171,0.044270448479652,0.0883632658624391
"AFF1",-0.0619168617439863,-0.0532757438263207,0.136289285341256,0.0126133929220864
